WORKTYPECODE,COUNTY,YEAR2018,YEAR2019,YEAR2020,B_Campo1,B_code,Description,Group,WTBIN1,WTBIN2,WTBIN3,WTBIN4,WTBIN5,WTBIN6,WTBIN7,WTBIN8,C_Campo1,District,No,C_code,Name,Unnamed: 5,CBIN1,CBIN2,CBIN3,CBIN4,CBIN5,CBIN6,CBIN7
1011,C052,0,0,0,0,1011,PCC Pavement - New,8,0,0,0,0,0,0,0,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
1011,C077,7721,0,0,0,1011,PCC Pavement - New,8,0,0,0,0,0,0,0,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
1012,C007,0,11663,0,1,1012,PCC Pavement - Replace,8,0,0,0,0,0,0,0,1,6,2,7,C007,Black Hawk,Black Hawk,0,0,0,0,1,1,0
1012,C094,0,12200,0,1,1012,PCC Pavement - Replace,8,0,0,0,0,0,0,0,1,93,1,94,C094,Webster,Webster,1,0,1,1,1,0,1
1013,C006,15275,0,0,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
1013,C023,0,1642,0,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,22,6,23,C023,Clinton,Clinton,0,0,1,0,1,1,0
1013,C052,9525,0,0,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
1013,C077,0,8708,0,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
1013,C078,0,27500,74890,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
1013,C086,0,0,15178,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
1013,C090,0,5952,342,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,89,5,90,C090,Wapello,Wapello,1,0,1,1,0,0,1
1014,C007,16997,5750,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,6,2,7,C007,Black Hawk,Black Hawk,0,0,0,0,1,1,0
1014,C017,7076,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,16,2,17,C017,Cerro Gordo,Cerro Gordo,0,0,1,0,0,0,0
1014,C027,13899,13814,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,26,5,27,C027,Decatur,Decatur,0,0,1,1,0,1,0
1014,C031,10009,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
1014,C043,0,30364,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,42,4,43,C043,Harrison,Harrison,0,1,0,1,0,1,0
1014,C075,9239,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,74,3,75,C075,Plymouth,Plymouth,1,0,0,1,0,1,0
1014,C078,31100,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
1014,C097,36891,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,96,3,97,C097,Woodbury,Woodbury,1,1,0,0,0,0,0
1021,C057,14988,0,0,4,1021,HMA Pavement - New,6,0,0,0,0,0,1,0,0,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
1511,C057,5004,0,0,12,1511,PCC Pavement Widening,8,0,0,0,0,1,1,0,0,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
1515,C025,9000,0,0,16,1515,PCC Overlay - Unbonded,8,0,0,0,1,0,0,0,0,24,4,25,C025,Dallas,Dallas,0,0,1,1,0,0,0
1522,C033,6053,0,0,19,1522,HMA Pavement Widening/HMA Resurfacing,6,0,0,0,1,0,0,1,1,32,2,33,C033,Fayette,Fayette,0,1,0,0,0,0,0
1523,C006,0,0,7971,20,1523,HMA Resurfacing,6,0,0,0,1,0,1,0,0,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
1523,C017,6793,0,0,20,1523,HMA Resurfacing,6,0,0,0,1,0,1,0,0,16,2,17,C017,Cerro Gordo,Cerro Gordo,0,0,1,0,0,0,0
1523,C027,5211,0,0,20,1523,HMA Resurfacing,6,0,0,0,1,0,1,0,0,26,5,27,C027,Decatur,Decatur,0,0,1,1,0,1,0
1523,C040,2195,0,0,20,1523,HMA Resurfacing,6,0,0,0,1,0,1,0,0,39,1,40,C040,Hamilton,Hamilton,0,1,0,0,1,1,1
1523,C048,2685,0,0,20,1523,HMA Resurfacing,6,0,0,0,1,0,1,0,0,47,6,48,C048,Iowa,Iowa,0,1,0,1,1,1,1
1523,C070,4869,0,0,20,1523,HMA Resurfacing,6,0,0,0,1,0,1,0,0,69,5,70,C070,Muscatine,Muscatine,1,0,0,0,1,0,1
1523,C082,6878,0,0,20,1523,HMA Resurfacing,6,0,0,0,1,0,1,0,0,81,6,82,C082,Scott,Scott,1,0,1,0,0,0,1
1523,C085,3762,0,0,20,1523,HMA Resurfacing,6,0,0,0,1,0,1,0,0,84,1,85,C085,Story,Story,1,0,1,0,1,0,0
1524,C071,4300,0,0,21,1524,HMA Resurfacing with Milling,6,0,0,0,1,0,1,0,1,70,3,71,C071,O'Brien,O'Brien,1,0,0,0,1,1,0
1525,C025,3200,0,0,22,1525,HMA Resurfacing/Cold-in-Place Recycling,6,0,0,0,1,0,1,1,0,24,4,25,C025,Dallas,Dallas,0,0,1,1,0,0,0
1525,C065,4717,0,0,22,1525,HMA Resurfacing/Cold-in-Place Recycling,6,0,0,0,1,0,1,1,0,64,4,65,C065,Mills,Mills,1,0,0,0,0,0,0
1525,C078,7941,9367,0,22,1525,HMA Resurfacing/Cold-in-Place Recycling,6,0,0,0,1,0,1,1,0,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
1555,C037,50,0,0,38,1555,Milled Rumble Strips,10,0,0,1,0,0,1,1,0,36,1,37,C037,Greene,Greene,0,1,0,0,1,0,0
1555,C050,14,0,0,38,1555,Milled Rumble Strips,10,0,0,1,0,0,1,1,0,49,1,50,C050,Jasper,Jasper,0,1,1,0,0,0,1
2012,C006,0,0,0,41,2012,Bridge New-CCS,9,0,0,1,0,1,0,0,1,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
2012,C052,0,0,987,41,2012,Bridge New-CCS,9,0,0,1,0,1,0,0,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2013,C006,1719,0,2028,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
2013,C007,3300,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,6,2,7,C007,Black Hawk,Black Hawk,0,0,0,0,1,1,0
2013,C016,0,1689,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,15,6,16,C016,Cedar,Cedar,0,0,0,1,1,1,1
2013,C029,0,2322,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,28,5,29,C029,Des Moines,Des Moines,0,0,1,1,1,0,0
2013,C031,18888,2276,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
2013,C052,0,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2013,C077,0,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
2013,C078,3310,2100,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
2013,C086,7257,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
2013,C097,1779,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,96,3,97,C097,Woodbury,Woodbury,1,1,0,0,0,0,0
2014,C031,1898,0,0,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
2014,C052,0,30419,1412,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2014,C077,0,16402,0,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
2014,C078,70870,11400,48520,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
2014,C082,0,0,2290,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,81,6,82,C082,Scott,Scott,1,0,1,0,0,0,1
2022,C011,1366,0,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,10,3,11,C011,Buena Vista,Buena Vista,0,0,0,1,0,1,0
2022,C017,0,0,3565,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,16,2,17,C017,Cerro Gordo,Cerro Gordo,0,0,1,0,0,0,0
2022,C047,0,1396,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,46,3,47,C047,Ida,Ida,0,1,0,1,1,1,0
2022,C052,0,810,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2022,C057,0,1781,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
2022,C090,0,2312,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,89,5,90,C090,Wapello,Wapello,1,0,1,1,0,0,1
2023,C009,1472,0,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,8,2,9,C009,Bremer,Bremer,0,0,0,1,0,0,0
2023,C012,0,0,5345,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,11,2,12,C012,Butler,Butler,0,0,0,1,0,1,1
2023,C016,0,0,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,15,6,16,C016,Cedar,Cedar,0,0,0,1,1,1,1
2023,C025,0,0,10621,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,24,4,25,C025,Dallas,Dallas,0,0,1,1,0,0,0
2023,C029,0,0,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,28,5,29,C029,Des Moines,Des Moines,0,0,1,1,1,0,0
2023,C044,4154,0,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,43,5,44,C044,Henry,Henry,0,1,0,1,0,1,1
2023,C046,2871,0,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,45,2,46,C046,Humboldt,Humboldt,0,1,0,1,1,0,1
2023,C050,0,2725,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,49,1,50,C050,Jasper,Jasper,0,1,1,0,0,0,1
2023,C052,3557,0,11376,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2023,C057,0,4267,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
2023,C071,0,0,2084,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,70,3,71,C071,O'Brien,O'Brien,1,0,0,0,1,1,0
2023,C077,6923,0,5024,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
2023,C078,0,5230,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
2023,C082,0,6789,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,81,6,82,C082,Scott,Scott,1,0,1,0,0,0,1
2023,C085,4039,0,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,84,1,85,C085,Story,Story,1,0,1,0,1,0,0
2023,C092,0,1471,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,91,5,92,C092,Washington,Washington,1,0,1,1,0,1,1
2023,C097,15079,2437,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,96,3,97,C097,Woodbury,Woodbury,1,1,0,0,0,0,0
2024,C078,0,0,12260,47,2024,Bridge Replacement-Steel Girder,9,0,0,1,0,1,1,1,1,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
2027,C057,0,6176,0,48,2027,Bridge Replacement - Other,9,0,0,1,1,0,0,0,0,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
2052,C043,0,2155,0,51,2052,Bridge and Approaches-CCS,9,0,0,1,1,0,0,1,1,42,4,43,C043,Harrison,Harrison,0,1,0,1,0,1,0
2506,C082,0,0,0,55,2506,Reconstruction - Bridge Deck Replacement,9,0,0,1,1,0,1,1,1,81,6,82,C082,Scott,Scott,1,0,1,0,0,0,1
2507,C052,0,0,853,56,2507,Reconstruction - Bridge Widening,9,0,0,1,1,1,0,0,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2507,C077,2241,19700,0,56,2507,Reconstruction - Bridge Widening,9,0,0,1,1,1,0,0,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
2521,C077,0,331,0,62,2521,Bridge Deck Overlay,9,0,0,1,1,1,1,1,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
2531,C082,0,0,0,63,2531,Bridge Removal,9,0,0,1,1,1,1,1,1,81,6,82,C082,Scott,Scott,1,0,1,0,0,0,1
3111,C031,0,110,0,77,3111,RCB Culvert New - Single Box,9,0,1,0,0,1,1,0,1,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
3111,C078,1320,750,0,77,3111,RCB Culvert New - Single Box,9,0,1,0,0,1,1,0,1,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
3111,C086,3136,0,0,77,3111,RCB Culvert New - Single Box,9,0,1,0,0,1,1,0,1,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
3111,C090,0,529,0,77,3111,RCB Culvert New - Single Box,9,0,1,0,0,1,1,0,1,89,5,90,C090,Wapello,Wapello,1,0,1,1,0,0,1
3121,C006,0,0,536,80,3121,RCB Culvert Replacement - Single Box,9,0,1,0,1,0,0,0,0,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
3121,C011,484,0,0,80,3121,RCB Culvert Replacement - Single Box,9,0,1,0,1,0,0,0,0,10,3,11,C011,Buena Vista,Buena Vista,0,0,0,1,0,1,0
3121,C029,96,0,0,80,3121,RCB Culvert Replacement - Single Box,9,0,1,0,1,0,0,0,0,28,5,29,C029,Des Moines,Des Moines,0,0,1,1,1,0,0
3121,C065,1779,0,0,80,3121,RCB Culvert Replacement - Single Box,9,0,1,0,1,0,0,0,0,64,4,65,C065,Mills,Mills,1,0,0,0,0,0,0
3121,C086,228,0,0,80,3121,RCB Culvert Replacement - Single Box,9,0,1,0,1,0,0,0,0,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
3122,C029,390,0,0,81,3122,RCB Culvert Replacement - Twin Box,9,0,1,0,1,0,0,0,1,28,5,29,C029,Des Moines,Des Moines,0,0,1,1,1,0,0
3122,C052,0,0,1941,81,3122,RCB Culvert Replacement - Twin Box,9,0,1,0,1,0,0,0,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
3122,C075,539,0,0,81,3122,RCB Culvert Replacement - Twin Box,9,0,1,0,1,0,0,0,1,74,3,75,C075,Plymouth,Plymouth,1,0,0,1,0,1,0
3123,C077,764,0,0,82,3123,RCB Culvert Replacement - Triple Box,9,0,1,0,1,0,0,1,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
3131,C057,0,122,0,83,3131,RCB Culvert Extension - Single Box,9,0,1,0,1,0,0,1,1,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
3131,C086,230,0,0,83,3131,RCB Culvert Extension - Single Box,9,0,1,0,1,0,0,1,1,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
3143,C052,0,0,472,86,3143,Reconstruction- RCB Culvert Ext - Triple,9,0,1,0,1,0,1,1,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
3511,C006,0,0,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
3511,C016,0,0,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,15,6,16,C016,Cedar,Cedar,0,0,0,1,1,1,1
3511,C029,17297,0,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,28,5,29,C029,Des Moines,Des Moines,0,0,1,1,1,0,0
3511,C031,7505,0,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
3511,C050,0,4746,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,49,1,50,C050,Jasper,Jasper,0,1,1,0,0,0,1
3511,C052,0,0,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
3511,C064,0,5767,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,63,1,64,C064,Marshall,Marshall,0,1,1,1,1,1,1
3511,C077,5434,8500,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
3511,C085,0,0,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,84,1,85,C085,Story,Story,1,0,1,0,1,0,0
3511,C086,36037,0,0,88,3511,Grading,5,0,1,0,1,1,0,0,0,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
3583,C086,258,0,0,107,3583,Pipe Culverts/Flume,5,0,1,1,0,1,0,1,1,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
4021,C003,1285,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,2,2,3,C003,Allamakee,Allamakee,0,0,0,0,0,1,0
4021,C014,1744,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,13,3,14,C014,Carroll,Carroll,0,0,0,1,1,0,1
4021,C025,0,2123,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,24,4,25,C025,Dallas,Dallas,0,0,1,1,0,0,0
4021,C045,746,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,44,2,45,C045,Howard,Howard,0,1,0,1,1,0,0
4021,C048,5301,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,47,6,48,C048,Iowa,Iowa,0,1,0,1,1,1,1
4021,C052,900,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
4021,C057,1900,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
4021,C065,1077,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,64,4,65,C065,Mills,Mills,1,0,0,0,0,0,0
4021,C070,1759,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,69,5,70,C070,Muscatine,Muscatine,1,0,0,0,1,0,1
4021,C073,500,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,72,4,73,C073,Page,Page,1,0,0,1,0,0,0
4021,C086,2558,0,0,110,4021,HMA Paved Shoulder - New,6,0,1,1,0,1,1,1,0,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
4521,C057,0,0,164,123,4521,Erosion Control,4,0,1,1,1,1,0,1,1,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
5011,C040,1317,0,0,142,5011,Guardrail,11,1,0,0,0,1,1,1,0,39,1,40,C040,Hamilton,Hamilton,0,1,0,0,1,1,1
5021,C006,234,0,0,146,5021,Lighting,11,1,0,0,1,0,0,1,0,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
5021,C025,0,0,0,146,5021,Lighting,11,1,0,0,1,0,0,1,0,24,4,25,C025,Dallas,Dallas,0,0,1,1,0,0,0
5021,C031,0,82,0,146,5021,Lighting,11,1,0,0,1,0,0,1,0,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
5021,C034,0,0,0,146,5021,Lighting,11,1,0,0,1,0,0,1,0,33,2,34,C034,Floyd,Floyd,0,1,0,0,0,0,1
5021,C040,0,51,0,146,5021,Lighting,11,1,0,0,1,0,0,1,0,39,1,40,C040,Hamilton,Hamilton,0,1,0,0,1,1,1
5021,C052,0,576,500,146,5021,Lighting,11,1,0,0,1,0,0,1,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
5021,C057,0,192,0,146,5021,Lighting,11,1,0,0,1,0,0,1,0,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
5021,C077,0,0,273,146,5021,Lighting,11,1,0,0,1,0,0,1,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
5021,C078,1300,850,1170,146,5021,Lighting,11,1,0,0,1,0,0,1,0,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
5021,C086,0,0,111,146,5021,Lighting,11,1,0,0,1,0,0,1,0,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
5041,C017,286,0,0,149,5041,Traffic Signals,11,1,0,0,1,0,1,0,1,16,2,17,C017,Cerro Gordo,Cerro Gordo,0,0,1,0,0,0,0
5041,C052,0,314,0,149,5041,Traffic Signals,11,1,0,0,1,0,1,0,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
5041,C057,0,0,0,149,5041,Traffic Signals,11,1,0,0,1,0,1,0,1,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
5041,C077,0,300,1227,149,5041,Traffic Signals,11,1,0,0,1,0,1,0,1,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
5062,C006,273,0,0,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
5062,C025,0,0,0,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,24,4,25,C025,Dallas,Dallas,0,0,1,1,0,0,0
5062,C029,0,0,125,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,28,5,29,C029,Des Moines,Des Moines,0,0,1,1,1,0,0
5062,C031,0,250,0,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
5062,C034,0,0,0,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,33,2,34,C034,Floyd,Floyd,0,1,0,0,0,0,1
5062,C040,0,57,0,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,39,1,40,C040,Hamilton,Hamilton,0,1,0,0,1,1,1
5062,C050,0,0,16,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,49,1,50,C050,Jasper,Jasper,0,1,1,0,0,0,1
5062,C052,0,1680,1500,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
5062,C057,450,631,0,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
5062,C077,0,571,2850,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
5062,C078,2100,1000,1120,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
5062,C082,0,1037,66,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,81,6,82,C082,Scott,Scott,1,0,1,0,0,0,1
5062,C086,0,0,290,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
5062,C091,0,0,0,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,90,5,91,C091,Waren,Warren,1,0,1,1,0,1,0
5062,C097,523,273,0,153,5062,Traffic Signs,11,1,0,0,1,1,0,0,1,96,3,97,C097,Woodbury,Woodbury,1,1,0,0,0,0,0
5071,C006,250,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
5071,C007,100,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,6,2,7,C007,Black Hawk,Black Hawk,0,0,0,0,1,1,0
5071,C017,150,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,16,2,17,C017,Cerro Gordo,Cerro Gordo,0,0,1,0,0,0,0
5071,C027,300,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,26,5,27,C027,Decatur,Decatur,0,0,1,1,0,1,0
5071,C028,100,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,27,6,28,C028,Delaware,Delaware,0,0,1,1,0,1,1
5071,C031,200,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
5071,C052,400,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
5071,C056,125,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,55,5,56,C056,Lee,Lee,0,1,1,0,1,1,1
5071,C057,550,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
5071,C077,2535,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
5071,C078,550,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
5071,C082,200,1158,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,81,6,82,C082,Scott,Scott,1,0,1,0,0,0,1
5071,C085,200,0,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,84,1,85,C085,Story,Story,1,0,1,0,1,0,0
5071,C097,265,1400,0,155,5071,ITS Equipment,11,1,0,0,1,1,0,1,1,96,3,97,C097,Woodbury,Woodbury,1,1,0,0,0,0,0
8011,C078,0,0,0,180,8011,Noise Wall,7,1,0,1,1,0,1,0,0,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
